timestamp,department,system,utilization(%)
2025-01-01T00:00:00,HR,ServerA,54.2
2025-01-01T00:01:00,Finance,DB1,22.8
2025-01-01T00:02:00,IT,AppY,73.9
2025-01-01T00:03:00,Operations,ServerB,66.1
2025-01-01T00:04:00,Marketing,AppX,41.7
2025-01-01T00:05:00,Sales,DB2,88.3
2025-01-01T00:06:00,HR,AppY,19.5
2025-01-01T00:07:00,Finance,ServerA,63.4
2025-01-01T00:08:00,IT,ServerB,92.1
2025-01-01T00:09:00,Operations,DB1,38.4
2025-01-01T00:10:00,Marketing,DB2,72.5
2025-01-01T00:11:00,Sales,AppX,14.6
2025-01-01T00:12:00,HR,ServerB,55.0
2025-01-01T00:13:00,Finance,AppX,23.3
2025-01-01T00:14:00,IT,DB2,87.9
2025-01-01T00:15:00,Operations,ServerA,49.4
2025-01-01T00:16:00,Marketing,AppY,11.2
2025-01-01T00:17:00,Sales,DB1,35.6
2025-01-01T00:18:00,HR,AppX,77.3
2025-01-01T00:19:00,Finance,ServerB,62.9
2025-01-01T00:20:00,IT,ServerA,94.1
2025-01-01T00:21:00,Operations,DB2,43.0
2025-01-01T00:22:00,Marketing,ServerA,28.3
2025-01-01T00:23:00,Sales,AppY,51.9
2025-01-01T00:24:00,HR,DB1,82.4
2025-01-01T00:25:00,Finance,AppX,67.3
2025-01-01T00:26:00,IT,ServerB,33.5
2025-01-01T00:27:00,Operations,DB1,90.7
2025-01-01T00:28:00,Marketing,AppY,44.8
2025-01-01T00:29:00,Sales,ServerA,12.4
2025-01-01T00:30:00,HR,ServerB,71.6
2025-01-01T00:31:00,Finance,AppY,56.1
2025-01-01T00:32:00,IT,DB2,27.9
2025-01-01T00:33:00,Operations,ServerA,84.0
2025-01-01T00:34:00,Marketing,DB1,39.2
2025-01-01T00:35:00,Sales,AppX,95.3
2025-01-01T00:36:00,HR,DB2,21.7
2025-01-01T00:37:00,Finance,ServerB,64.9
2025-01-01T00:38:00,IT,AppY,78.5
2025-01-01T00:39:00,Operations,ServerA,53.1
2025-01-01T00:40:00,Marketing,AppX,47.4
2025-01-01T00:41:00,Sales,DB1,88.0
2025-01-01T00:42:00,HR,ServerB,36.6
2025-01-01T00:43:00,Finance,DB2,14.1
2025-01-01T00:44:00,IT,AppX,59.3
2025-01-01T00:45:00,Operations,ServerB,72.7
2025-01-01T00:46:00,Marketing,ServerA,25.3
